"company","subject","description","status","priority","category","contact","assignedTo","tasksPerformed","pcName","serialNumber","pendingTasks","equipmentTaken","hours","createdAt","resolvedAt"
"MUNTMASTERS","Uitleg Ticket systeem","Beste Hassan, Kunnen wij uitleg van je krijgen over hoe dit ticketsysteem werkt?","CLOSED","HIGH","OTHER","Abdelhak","Voorganger","","","","","","","2024-05-01","2024-05-02"
"ITFIN","FW: Session issues","","CLOSED","NORMAL","OTHER","H Arbaj","Voorganger","","","","","","","2024-05-01","2024-05-06"
"ITFIN","FW: Session issues","","CLOSED","NORMAL","OTHER","H Arbaj","Voorganger","","","","","","","2024-05-01","2024-05-01"
"CODENAMEFUTURE","Nieuwe stagiair","Ha Hassan,
Vanaf maandag begint Anzil Akmal met zijn stage bij ons. Kun jij een account voor hem aanmaken?
Dank.
Hartelijke groet,
Martijn","CLOSED","NORMAL","OTHER","Martijn","Voorganger","","","","","","","2024-05-02","2024-05-02"
"MUNTMASTERS","FW: IT verzoek - afsluiten account van EXIT medewerker.","","CLOSED","NORMAL","ACCOUNT","Abdelhak","Voorganger","","","","","","","2024-05-02","2024-06-01"
"NEXUS","Meekijken","","CLOSED","NORMAL","OTHER","","Voorganger","","","","","","","2024-05-03","2024-05-03"
"ZVOS","Users aanmaken shiftbase","Ilias Joubid
Abdourahman Yaseen
Sohaib Alou","CLOSED","NORMAL","OTHER","A Zerkouni","Voorganger","","","","","","","2024-05-03","2024-05-03"
"MUNTMASTERS","RE: IT Verzoek - Nieuwe medewerker Marabes.","","CLOSED","NORMAL","OTHER","Abdelhak","Voorganger","","","","","","","2024-05-06","2024-05-06"
"MUNTMASTERS","RE: IT Verzoek : Toegang intrekken voor mailbox facturen@muntmasters.com","","CLOSED","NORMAL","ACCOUNT","Abdelhak","Voorganger","","","","","","","2024-05-06","2024-08-01"
"ZVOS","Veiligstellen camera beelden Heideveld : 23-4-2024 : 23:00 -23:15","","CLOSED","NORMAL","HARDWARE","N Jaadari","Voorganger","","","","","","","2024-05-07","2024-05-07"
"ZVOS","Verzoek Ilias","Alle verzoeken Ilias zijn uitgevoerd. Er staan nog twee verzoeken open.
1. Toegang tot info mailbax?
2. Verzoek om agenda 
diensten@zorgvooronszamen.nl
 te delen met alle medewerkers.
Ist dit akkoord?","CLOSED","NORMAL","OTHER","H Bakkali","Voorganger","","","","","","","2024-05-07","2024-05-10"
"ITFIN","Camera","","CLOSED","NORMAL","HARDWARE","Ibrahimelkarti","Voorganger","","","","","","","2024-05-08","2024-05-08"
"ZVOS","Versturen inloglink shiftbase","Ilias Joubid
Abdourahman Yaseen
Sohaib Alou","CLOSED","NORMAL","OTHER","H Bakkali","Voorganger","","","","","","","2024-05-10","2024-05-10"
"ZVOS","Versturen documenten + toegang shiftbase","1. Gebruikers Abdourahman en Sohaib ontvangen geen shiftbase activatie mail.
2. Yahja Karzan schijnt verkeerde gegegevens te hebben gedeeld. Nagaan wat er gebeurd is.","CLOSED","NORMAL","OTHER","H Bakkali","Voorganger","","","","","","","2024-05-13","2024-05-24"
"MUNTMASTERS","laoptops installeren","","CLOSED","NORMAL","SOFTWARE","Yassine","Voorganger","","","","","","","2024-05-13","2024-05-16"
"MUNTMASTERS","Installatie voor twee nieuwe laptops.","Installatie voor twee nieuwe laptops.","CLOSED","HIGH","HARDWARE","Abdelhak","Voorganger","","","","","","","2024-05-13","2024-05-16"
"ZVOS","geen mail ontvangen Shiftbase","","CLOSED","NORMAL","ACCOUNT","S Alou","Voorganger","","","","","","","2024-05-13","2024-05-17"
"HZB","Kan niet printen","","CLOSED","NORMAL","OTHER","Ebless","Voorganger","","","","","","","2024-05-14","2024-05-16"
"MUNTMASTERS","FW: IT verzoek!","","CLOSED","NORMAL","OTHER","Abdelhak","Voorganger","","","","","","","2024-05-14","2024-05-21"
"ZVOS","Spellingscontrole word","","CLOSED","NORMAL","OTHER","H Bakkali","Voorganger","","","","","","","2024-05-17","2024-05-17"
"CODENAMEFUTURE","Ha Hassan, de website docent.codenamefuture.nl was niet bereikbaar. Inmiddels wel maar is heel traag. Kun je kijken wat er aan de hand is?","","CLOSED","NORMAL","SOFTWARE","Martijn","Voorganger","","","","","","","2024-05-18","2024-05-21"
"ZVOS","Niewe hp laptop met office 2021","","CLOSED","NORMAL","HARDWARE","H Bakkali","Voorganger","","","","","","","2024-05-19","2024-05-24"
"LAGELANDENZORG","Macbook LLZ","","WAITING","NORMAL","OTHER","Backoffice","Voorganger","","","","","","","2024-05-20",""
"MAZAZORG","Vecozzo","","CLOSED","NORMAL","OTHER","Info","Voorganger","","","","","","","2024-05-21","2024-05-21"
"CODENAMEFUTURE","Toegang mailboxen","Ha Hassan,
Kun je Margot toegang geven tot de VO mailbox en Layla toegang geven tot de mbo mailbox?
Dank!
Groet,
Martijn","CLOSED","NORMAL","ACCOUNT","Martijn","Voorganger","","","","","","","2024-05-21","2024-05-21"
"ZVOS","Voicemail HR","Hoi,
Waarom is de voicemail van HR eraf op de woensdagen?
de afdeling is gesloten op woensdag en nu krijgen we veel telefoontjes binnen.","CLOSED","HIGH","ACCOUNT","M Steinmetz","Voorganger","","","","","","","2024-05-22","2024-05-22"
"IWDZ","Office activeren","","CLOSED","NORMAL","ACCOUNT","M Elammari","Voorganger","","","","","","","2024-05-22","2024-05-22"
"HZB","Telefoon doet het niet","","CLOSED","NORMAL","HARDWARE","Ksaid","Voorganger","","","","","","","2024-05-23","2024-06-01"
"ZVOS","Installeren tendernet executable","","CLOSED","NORMAL","SOFTWARE","A Zerkouni","Voorganger","","","","","","","2024-05-23","2024-05-23"
"ZVOS","Adobe installeren","","CLOSED","NORMAL","ACCOUNT","A Zerkouni","Voorganger","","","","","","","2024-05-23","2024-05-24"
"HZB","werkprofiel","","CLOSED","NORMAL","OTHER","Diensten","Voorganger","","","","","","","2024-05-23","2024-05-24"
"HZB","Installeren en leveren spullen","PC : HZBWKS102001
AP Unifi
6 toestenborden
stekkerdozen 4 : 2
stekkerdozen 3: 3
Stopcontact stekker 2
verlengstekker 2
installaltie materiaal
Yealink toestel bruikleen.
HDBI Displaykabel
2 uur werk","CLOSED","NORMAL","SOFTWARE","Akarimi","Voorganger","","","","","","","2024-05-23","2024-06-03"
"TELT","VPN","","CLOSED","NORMAL","NETWORK","Daniel","Voorganger","","","","","","","2024-05-24","2024-05-24"
"ITFIN","Roger","","CLOSED","NORMAL","OTHER","","Voorganger","","","","","","","2024-05-25","2024-05-27"
"RAJATHUISZORG","Teams koppeling","","CLOSED","NORMAL","ACCOUNT","Eduard","Voorganger","","","","","","","2024-05-29","2024-05-30"
"RAJATHUISZORG","Mail","","CLOSED","NORMAL","ACCOUNT","G Vanspengen","Voorganger","","","","","","","2024-05-30","2024-06-01"
"ITFIN","Toegang systeem","","CLOSED","NORMAL","OTHER","Info","Voorganger","","","","","","","2024-06-01","2024-06-03"
"ELMAR","(No Subject)","","CLOSED","NORMAL","OTHER","M Koelewijn","Voorganger","","","","","","","2024-06-03","2024-06-04"
"SAMEN100CARE","Ondertekenen documten na vervangen laptop","","CLOSED","NORMAL","HARDWARE","Mettaouil","Voorganger","","","","","","","2024-06-04","2024-06-04"
"CODENAMEFUTURE","Connectie en website","Hoi Hassan,
Tamara heeft gisteren jou een bericht gedaan over de website dat deze traag is en dat zij er niet meer in kon komen. Heb je hier ook contact over gehad?
Verder had ik jou een appje gestuurd ivm de netwerkproblemen. Ook ervaar ik sinds de aanpassing van de instellingen bij Outlook, dat ik het programma eerst 3 keer moet opstarten voordat Outlook daadwerkelijk start. Hij geeft aan dat de mappen niet gevonden kunnen worden bij het opstarten. 
Ook moest ik handmatig een verbinding maken ","CLOSED","HIGH","SOFTWARE","Martijn","Voorganger","","","","","","","2024-06-05","2024-06-07"
"SAMEN100CARE","Contributie","","CLOSED","NORMAL","OTHER","Mettaouil","Voorganger","","","","","","","2024-06-05","2024-06-05"
"BVZ","Camera","","CLOSED","NORMAL","HARDWARE","A Amine","Voorganger","","","","","","","2024-06-05","2024-06-07"
"ELMAR","FW: Opdrachtbon Kruidvat 7867 868141.00","","CLOSED","NORMAL","OTHER","Onderhoud","Voorganger","","","","","","","2024-06-07","2024-06-07"
"ELMAR","inloggen Syntess (Elmar Services & Int) werkt niet","","CLOSED","NORMAL","ACCOUNT","M Koelewijn","Voorganger","","","","","","","2024-06-10","2024-06-10"
"ITFIN","Beste","","CLOSED","NORMAL","OTHER","","Voorganger","","","","","","","2024-06-10","2024-06-10"
"RAJATHUISZORG","Synchronisatie","","CLOSED","NORMAL","OTHER","G Vanspengen","Voorganger","","","","","","","2024-06-10","2024-06-24"
"RAJATHUISZORG","Synchronisatie tussen mijn laptop en mijn desktop","","CLOSED","NORMAL","HARDWARE","G Vanspengen","Voorganger","","","","","","","2024-06-10","2024-06-23"
"ITFIN","Hallo","","CLOSED","NORMAL","OTHER","","Voorganger","","","","","","","2024-06-10","2024-06-11"
"ITFIN","Beste heer, mevrouw","","CLOSED","NORMAL","OTHER","","Voorganger","","","","","","","2024-06-10","2024-06-11"
"ITFIN","Beste support","","CLOSED","NORMAL","OTHER","","Voorganger","","","","","","","2024-06-10","2024-06-11"
"ITFIN","Beste helpdesk","","CLOSED","NORMAL","OTHER","","Voorganger","","","","","","","2024-06-10","2024-06-11"
"CODENAMEFUTURE","Re-activeren account","Hoi,
Zou je het offline account van Lily Steijn weer kunnen activeren vandaag?
Alvast dank.
Groet,
Martijn Spekman
Codename Future","CLOSED","HIGH","ACCOUNT","Martijn","Voorganger","","","","","","","2024-06-14","2024-06-14"
"NANO","Wachtwoord aanpassen","","CLOSED","NORMAL","ACCOUNT","Info","Voorganger","","","","","","","2024-06-15","2024-06-15"
"ITFIN","Goedenavond, ik heb zojuist 2 keer geprobeerd te bellen. Kan het kloppen dat er geen waakdienst is? Ik moet namelijk vandaag mijn wachtwoord wijzigen alleen lukt het me niet zelf te doen","","CLOSED","NORMAL","ACCOUNT","","Voorganger","","","","","","","2024-06-15","2024-06-17"
"ALTUM","Betaling overzicht Juni","","CLOSED","NORMAL","OTHER","Engelbert Hansma","Voorganger","","","","","","","2024-06-17","2024-06-17"
"ZONNESCHIJNZORG","FW: Mail resetten.","","CLOSED","NORMAL","ACCOUNT","Info","Voorganger","","","","","","","2024-06-18","2024-06-18"
"ZVOS","Zivver","Problemen met zivver","CLOSED","NORMAL","ACCOUNT","H Bakkali","Voorganger","","","","","","","2024-06-22","2024-06-22"
"BVZ","Installeren VPN client","","CLOSED","NORMAL","NETWORK","A Amine","Voorganger","","","","","","","2024-06-23","2024-06-24"
"CODENAMEFUTURE","Toegang Lily tot redactiemailbox","Goedemorgen Hassan,
Ik hoop dat je weer veilig thuis bent. 
Zou jij Lily toegang kunnen geven tot de redactiemailbox?
Alvast dank.
Groet,
Martijn","CLOSED","NORMAL","ACCOUNT","Martijn","Voorganger","","","","","","","2024-06-24","2024-06-24"
"RAJATHUISZORG","Tijd loopt niet goed.","","CLOSED","NORMAL","OTHER","G Vanspengen","Voorganger","","","","","","","2024-06-24","2024-06-24"
"RAJATHUISZORG","Scannen","","CLOSED","NORMAL","OTHER","Noema","Voorganger","","","","","","","2024-06-24","2024-06-24"
"ZVOS","mailboxen aanmaken Fellow Academy","salam,
Graag willen we de volgende mailboxen z.s.m. aangemaakt hebben voor Fellow Academy:
- 
administratie@fellowacademy.nl
- 
aanmelden@fellowacademy.nl
- 
klachten@fellowacademy.nl
Dank.
Saida","CLOSED","HIGH","ACCOUNT","S Tesaguaguin","Voorganger","","","","","","","2024-06-24","2024-06-27"
"ZVOS","mailbox toevoegen aan Anas Tesaguaguin","Salam,
Kan Anas Tesaguaguin ook toegevoegd worden aan de mailbox 
academy@fellowzorg.nl
?
Dank.
Saida","CLOSED","HIGH","ACCOUNT","S Tesaguaguin","Voorganger","","","","","","","2024-06-24","2024-06-24"
"BVZ","Printer problemen","Kan niet printen. Wil graag meekijken","CLOSED","NORMAL","HARDWARE","A Tajjiou","Voorganger","","","","","","","2024-06-25","2024-07-04"
"BVZ","Printer problemen","Print problemen wil graag meekijken","CLOSED","NORMAL","HARDWARE","H Zahid","Voorganger","","","","","","","2024-06-25","2024-06-25"
"BVZ","Schermen op kantoor werken niet meer.","","CLOSED","NORMAL","HARDWARE","S Akatal","Voorganger","","","","","","","2024-06-25","2024-06-25"
"ITFIN","printen","","CLOSED","NORMAL","OTHER","Yassine","Voorganger","","","","","","","2024-06-25","2024-06-27"
"CODENAMEFUTURE","Verbinding Outlook en server","Hoi Hassan,
Ik blijf problemen houden met de verbinding met de server wanneer ik in Outlook werk. Deze keer ontstaat het wanneer ik een tijd lang niet achter mijn laptop heb gezeten en ik opnieuw moet aanloggen. De serververbinding raakt dan kwijt en herstelt zich dan niet.
Ik kreeg de volgende melding:","CLOSED","NORMAL","ACCOUNT","Martijn","Voorganger","","","","","","","2024-06-25","2024-06-26"
"ZVOS","Toegang tot personeel@fellowzorg.nl","Kan mij z.s.m. toegang worden verleend tot 
personeel@fellowzorg.nl
?","CLOSED","HIGH","OTHER","F Tesaguaguin","Voorganger","","","","","","","2024-06-25","2024-06-26"
"ZVOS","Office gebruik laptop","Ik heb op mijn laptop nog steeds geen toegang tot Office (excel, word etc.). Ik wil graag in kunnen loggen in mijn werkomgeving via mijn laptop. Het is namelijk een werklaptop en andere collega's zouden er ook in moeten kunnen komen met hen Fellow Zorg-account.","CLOSED","HIGH","HARDWARE","F Tesaguaguin","Voorganger","","","","","","","2024-06-25","2024-07-02"
